port,usage
7,Echo
19,CHARGEN
20,FTP-data
21,FTP-control
22,SSH
23,Telnet
25,SMTP
42,WINS Replication
43,WHOIS
49,TACACS
53,DNS
67,DHCP
68,DHCP
69,TFTP
70,Gopher
79,Finger
80,HTTP
88,Kerberos
102,TSAP
110,POP3
113,Ident
119,NNTP
123,NTP
135,RPC/EPMAP
137,NetBIOS-ns
138,NetBIOS-dgm
139,NetBIOS-ssn
143,IMAP
161,SNMP-agents
162,SNMP-trap
177,XDMCP
179,BGP
194,IRC
201,AppleTalk
264,BGMP
318,TSP
381,HP Openview-data collector
383,HP Openview-alarm manager
389,LDAP
427,SLP
443,HTTPS
445,Microsoft DS/SMB
464,Kerberos
465,SMTPS
497,Dantz Retrospect
500,IPSec / ISAKMP / IKE
512,rexec
513,rlogin
514,syslog
515,LPD/LPR
520,RIP
521,RIPing (IPv6)
540,UUCP
548,AFP
546,DHCPv6
547,DHCPv6
554,RTSP
560,rmonitor
563,NNTP over TLS/SSL
587,SMTP
591,FileMaker
593,Microsoft DCOM
596,SMSD
631,IPP
636,LDAP over TLS/SSL
639,MSDP-PIM
646,LDP-MPLS
691,Microsoft Exchange
860,iSCSI
873,rsync
902,VMware Server
989,FTPS
990,FTPS
993,IMAP over SSL
995,POP3 over SSL
1433,MSSQL
3306,MYSQL
3389,RDP
5432,PostgreSQL
5900,VNC
6379,Redis
8080,HTTP-Proxy
8443,HTTPS-Alt
